ticker,setup,entry,stop,target,rr,score
ZBRA,ACCEPTANCE_BREAKOUT,270.54,251.91,376.49,5.69,75.7
ANET,ACCEPTANCE_BREAKOUT,167.98,156.92,197.31,2.65,67.2
RVTY,PULLBACK_TO_VALUE,112.66,104.27,139.81,3.23,32.2
TECH,PULLBACK_TO_VALUE,70.91,65.68,91.67,3.97,31.4
CAH,PULLBACK_TO_VALUE,236.4,220.35,285.05,3.03,27.6
PFG,PULLBACK_TO_VALUE,113.4,102.57,141.18,2.57,22.3
PGR,PULLBACK_TO_VALUE,212.74,207.7,237.26,4.87,11.7
WRB,ACCEPTANCE_BREAKOUT,71.75,70.0,76.44,2.68,7.8
VRSN,PULLBACK_TO_VALUE,294.56,262.59,375.45,2.53,1.7
NVDA,ACCEPTANCE_BREAKOUT,209.88,202.05,235.47,3.27,0.9
